SÄMIKIELÂ UUCÂMSÄÄNI	SUOMI	SAAMEN_HAK	SUOMEN_HAK		SAAMEN_YHD	SUOMEN_YHD	SAAMEN_TAI	SUOMEN_HA2	SUOMEN_J_L	
olgoeennâm       	ulkomaa  	olgo	ulko		eennâm	maa				
olgokiäl'lár       	maakellari  	olgo	maa		kiäl'lár	kellari				
olgoláá       	kauemmas (esim. rannasta) 	olgoláá	kauemmas					(esim. rannasta)		
olgoláá       	etäämmäs (esim. rannasta) 	olgoláá	etäämmäs					(esim. rannasta)		
olgoláá       	ulommaksi (esim. rannasta) 	olgoláá	ulommaksi					(esim. rannasta)		
olgoláástivrim       	kauko-ohjaus  	olgoláá	kauko-		stivrim	ohjaus				
olgoláhháá       	vähän etäämmäs (esim. rannasta) 	olgoláhháá	vähän 			etäämmäs		(esim. rannasta)		
olgoláhháá       	vähän kauemmas (esim. rannasta) 	olgoláhháá	vähän 			kauemmas		(esim. rannasta)		
olgoláhháá       	vähän ulommaksi (esim. rannasta) 	olgoláhháá	vähän 			ulommaksi		(esim. rannasta)		
o'lgoldâs       	ulkoinen  	o'lgoldâs	ulkoinen							
o'lgoldâs       	ulkonainen  	o'lgoldâs	ulkonainen							
o'lgoldâshääMi  -häämi     	ulkoasu  	o'lgoldâs	ulko		hääMi	asu	-häämi			
o'lgomustáá       	kauimpana  	o'lgomustáá	kauimpana							
olgon       	ulkona  	olgon	ulkona							
olgonlihâdem       	ulkoilu  	olgon	ulkoilu		lihâdem					
olgonlihâdemkiäl'du  -kiäldu     	ulkonaliikkumiskielto  	olgon	ulkona		lihâdemkiäl'du	liikkumiskielto	-kiäldu			
olgonlihâdemlaahâ  -laaVâ     	ulkoilulaki  	olgon	ulkoilu		lihâdemlaahâ	laki	-laaVâ			
olgoold       	pinnalta  	olgoold	pinnalta							
olgoold       	ulkopuolelta  	olgoold	ulkopuolelta							
olgooš  ulguu     	päällinen  	olgooš	päällinen				ulguu			
olgooš  ulguu     	päällys  	olgooš	päällys				ulguu			
olgooš  ulguu     	kansi  (painotuotteen)	olgooš	kansi				ulguu		(painotuotteen)	
olgooš  ulguu     	ulkopinta  	olgooš	ulko			pinta	ulguu			
olgoparasiit       	ulkoloinen  	olgo	ulko		parasiit	loinen				
olgopiivtâs  -pih'tâs     	ulkovaate  	olgo	ulko		piivtâs	vaate	-pih'tâs			
o'lgos       	ulos  	o'lgos	ulos							
o'lgos pyeh'tiđ       	ilmaista  	o'lgos 	ilmaista		pyeh'tiđ					
olgosadaldâh  -adalduv     	julkaisu (esim. kirja) 	olgos	julkaisu		adaldâh		-adalduv	(esim. kirja)		
o'lgosadeleijee       	julkaisija  	o'lgos	julkaisija		adeleijee					
o'lgosadeleijee       	kustantaja  	o'lgos	kustantaja		adeleijee					
olgosavotekki  -teehi     	ulkofilee  	olgo	ulko		savotekki	filee	-teehi			
o'lgospeerrâm       	ulosotto  	o'lgos	ulos		peerrâm	otto				
o'lgospeerrâma'lmai  -almaa     	ulosottomies  	o'lgos	ulos		peerrâma'lmai	ottomies	-almaa			
o'lgospyeh'tim       	ilmaisu  	o'lgos	ilmaisu		pyeh'tim					
o'lgoštiđ  olgoošt     	syrjiä  	o'lgoštiđ	syrjiä				olgoošt			
o'lgoštittiđ  o'lgoštitám     	ulkoistaa  	o'lgoštittiđ	ulkoistaa				o'lgoštitám			
olgouksâ  -uuvsâ     	ulko-ovi  	olgo	ulko-		uksâ	ovi	-uuvsâ			
olgoveeskir  -viäs'kár     	ulkoeteinen  	olgo	ulko		veeskir	eteinen	-viäs'kár			
olgoveeskir  -viäs'kár     	tuulikaappi  	olgo	tuuli		veeskir	kaappi	-viäs'kár			
olgoveeskir  -viäs'kár     	kuisti  	olgo	kuisti		veeskir		-viäs'kár			
oljáá  # -s     	öljyinen  	oljáá	öljyinen				# -s			
oljiđ       	öljytä  	oljiđ	öljytä							
oljo  o'ljo     	öljy  	oljo	öljy				o'ljo			
oljočiev'râ  -čievrâ     	öljysora  	oljo	öljy		čiev'râ	sora	-čievrâ			
oljočiev'râaSe  -ase     	kestopäällyste  	oljo	kesto		čiev'râaSe	päällyste	-ase			
oljočiev'râaSe  -ase     	asfaltti  	oljo	asfaltti		čiev'râaSe		-ase			
oljoivne  -iivne ~ -i'vne     	öljyväri  	oljo	öljy		ivne	väri	-iivne ~ -i'vne			
oljokied'di  -kiedi     	öljykenttä  	oljo	öljy		kied'di	kenttä	-kiedi			
o'ljopoorámpuár'ree  -árvusii     	öljynporauslautta  	o'ljo	öljyn		poorámpuár'ree	porauslautta	-árvusii			
o'ljosier'rimkáivu  -kááivu     	öljynerotuskaivo  	o'ljo	öljyn		sier'rimkáivu	erotuskaivo	-kááivu			
o'ljosillee       	öljynsuodatin  	o'ljo	öljyn		sillee	suodatin				
oljosoRáase  -ase     	kestopäällyste  	oljo	kesto		soRáase	päällyste	-ase			
oljosoRáase  -ase     	asfaltti  	oljo	asfaltti		soRáase		-ase			
o'ljoteedâ  -tedduu     	öljynpaine  	o'ljo	öljyn		teedâ	paine	-tedduu			
olkkâđ  oolhâi     	hautua  (munasta)	olkkâđ	hautua				oolhâi		(munasta)	
ollâárvusâš       	korkeaarvoinen  	ollâ	korkea		árvusâš	arvoinen				
ollâgâsâst       	korkealla  	ollâgâsâst	korkealla							
ollâgâsâst       	korkealta  	ollâgâsâst	korkealta							
ollâgávt       	korkeasti  	ollâgávt	korkeasti							
ollágin       	yhtään  	ollágin	yhtään							
ollágin       	ensinkään  	ollágin	ensinkään							
ollágin       	lainkaan  	ollágin	lainkaan							
ollágin       	ollenkaan  	ollágin	ollenkaan							
ollâgub       	korkeampi  	ollâgub	korkeampi							
ollâgumos  ollâgummoos     	korkein  	ollâgumos	korkein				ollâgummoos			
ollâmielâg       	ylimielinen  	ollâ	yli		mielâg	mielinen				
ollâmie'Lâgávt       	ylimielisesti  	ollâ	yli		mie'Lâgávt	mielisesti				
ollâopâttâh  -opâttuv     	yliopisto  	ollâ	yli		opâttâh	opisto	-opâttuv			
ollâpolsâjeggi  -jeegi     	palsasuo  	ollâ	palsa		polsâjeggi	suo	-jeegi			
ollásávt       	kokonaan  	ollásávt	kokonaan							
ollásávt       	täysin  	ollásávt	täysin							
ollâškovlâ  -škoovlâ     	korkeakoulu  	ollâ	korkea		škovlâ	koulu	-škoovlâ			
ollâteedâ  -tedduu     	korkeapaine  	ollâ	korkea		teedâ	paine	-tedduu			
ollee       	nousuvesi  	ollee	nousu			vesi				
ollee       	vuoksi  	ollee	vuoksi							
ollee       	vuorovesi  	ollee	vuoro			vesi				
olleečääci  -čääsi     	vuorovesi  	ollee	vuoro		čääci	vesi	-čääsi			
olleeđ  olám     	ulottua  	olleeđ	ulottua				olám			
olleeđ  olám     	ylettyä  	olleeđ	ylettyä				olám			
olleeđ  olám     	yltää  	olleeđ	yltää				olám			
olliđ  olliim uál'lee     	aisata  	olliđ	aisata				olliim uál'lee			
olliđ  olliim uál'lee     	kuoria puuta  	olliđ	kuoria 			puuta	olliim uál'lee			
ollimryev'di  -ryevdi     	kuorimarauta  	ollim	kuorima		ryev'di	rauta	-ryevdi			
olluv  # ollâ     	korkea  	olluv	korkea				# ollâ			
olluvvuotâ  olluvvuođâ     	korkeus  	olluvvuotâ	korkeus				olluvvuođâ			
olmâ       	ehta  	olmâ	ehta							
olmâ       	kunnollinen  	olmâ	kunnollinen							
olmâ       	kunnon  	olmâ	kunnon							
olmânáál       	kunnolla  	olmânáál	kunnolla							
olmânemhääMi  -häämi     	ulkomuoto  	olmânem	ulko		hääMi	muoto	-häämi			
olmooš  ulmuu     	ihminen  	olmooš	ihminen				ulmuu			
olmoošárvusâš  -árvusii     	ihmisarvoinen  	olmooš	ihmis		árvusâš	arvoinen	-árvusii			
olmoošjuáv'kku  -juávhu     	ihmisryhmä  	olmooš	ihmis		juáv'kku	ryhmä	-juávhu			
olmooškoskâvuođah       	ihmissuhteet  	olmooš	ihmis		koskâvuođah	suhteet				
olmoošlâš  olmoošlii     	hienotunteinen  	olmoošlâš	hieno			tunteinen	olmoošlii			
olmoošlâš  olmoošlii     	inhimillinen  	olmoošlâš	inhimillinen				olmoošlii			
olmoošloho  -loVo     	asukasluku  	olmooš	asukas		loho	luku	-loVo			
olmoošloho  -loVo     	väkiluku  	olmooš	väki		loho	luku	-loVo			
olmoošmettum       	epäinhimillinen  	olmoošmettum	epä			inhimillinen				
olmoošmettum       	häijy  	olmoošmettum	häijy							
olmoošmettumvuotâ  -vuođâ     	ilkeys  	olmoošmettumvuotâ	ilkeys				-vuođâ			
olmoošporree       	ihmissyöjä  	olmooš	ihmis		porree	syöjä				
olmoošsahisvuotâ  -sahisvuođâ     	väentiheys  	olmooš	väen		sahisvuotâ	tiheys	-sahisvuođâ			
olmoošsajettesvuotâ  -vuođâ     	liikakansoitus  	olmooš	liika		sajettesvuotâ	kansoitus	-vuođâ			
olmooštiä'tua'lmottâs       	henkilötietoilmoitus  	olmooš	henkilö		tiä'tua'lmottâs	tietoilmoitus				
olmoošvuoi'gâdvuotâ  -vuođâ     	ihmisoikeus  	olmooš	ihmis		vuoi'gâdvuotâ	oikeus	-vuođâ			
olmoošvuotâ  -vuođâ     	ihmisyys  	olmooš	ihmisyys		vuotâ		-vuođâ			
olmoošvuotâ  -vuođâ     	inhimillisyys  	olmooš	inhimillisyys		vuotâ		-vuođâ			
o'lmošlâš  o'lmošlii     	inhimillinen  	o'lmošlâš	inhimillinen				o'lmošlii			
olnâ  oolnâ     	ien  	olnâ	ien				oolnâ			
olŋâ  oolŋâ     	ien  	olŋâ	ien				oolŋâ			
olottimmuddo  -mudo     	ulottuvuus  	olottim	ulottuvuus		muddo		-mudo			
olssâd       	itsellesi  	olssâd	itsellesi							
olssân       	itselleni  	olssân	itselleni							
olssis       	itselleen  	olssis	itselleen							
olvođ  o'lvom     	ulvoa  	olvođ	ulvoa				o'lvom			
olvom       	ulvonta  	olvom	ulvonta							
om. (= ovdâmerkkân)       	esim.  (= esimerkiksi)	om. 	esim.		(= ovdâmerkkân)				(= esimerkiksi)	
oMâdâh  oMâduv     	omaisuus  	oMâdâh	omaisuus				oMâduv			
omâhâštipšo  -ti'pšo     	omaishoito  	omâhâš	omais		tipšo	hoito	-ti'pšo			
omâhâštipšoo       	omaishoitaja  	omâhâš	omais		tipšoo	hoitaja				
omâšiđ  oomâš     	oudoksua  	omâšiđ	oudoksua				oomâš			
omâslâš  omâslii     	ihmeellinen  	omâslâš	ihmeellinen				omâslii			
omâsteijee       	omistaja  	omâsteijee	omistaja							
omâstemkiäJus  -kiäččus     	omistusliite  	omâstem	omistus		kiäJus	liite	-kiäččus			
omâstemkiäJus  -kiäččus     	possessiivisuffiksi  	omâstem	possessiivi		kiäJus	suffiksi	-kiäččus			
omâstiđ  oomâst     	omistaa  	omâstiđ	omistaa				oomâst			
omâstyeJi  -tye'je     	ihmeteko  	omâs	ihme		tyeJi	teko	-tye'je			
omâttâllâđ  omâttâlâm     	ihmetellä  	omâttâllâđ	ihmetellä				omâttâlâm			
omâttâllâđ  omâttâlâm     	oudoksua  	omâttâllâđ	oudoksua				omâttâlâm			
oMo-       	usvainen  (talvella jääsumun takia)	oMo-	usvainen						(talvella jääsumun takia)	
oMo-       	sumuinen  (talvella jääsumun takia)	oMo-	sumuinen						(talvella jääsumun takia)	
oMo  omo     	jääsumu  	oMo	jää			sumu	omo			
oMo  omo     	sumu  (talvella)	oMo	sumu				omo		(talvella)	
oMo  omo     	usva  (talvella)	oMo	usva				omo		(talvella)	
onâččem       	yhdyntä  (sukup.)	onâččem	yhdyntä						(sukup.)	
onnâ  oonâ     	vinkki  	onnâ	vinkki				oonâ			
onnâ  oonâ     	vihi  	onnâ	vihi				oonâ			
onnâdiđ       	vihjaista  	onnâdiđ	vihjaista							
onnáš  onnáá     	tämänpäiväinen  	onnáš	tämän			päiväinen	onnáá			
onne       	tänään  	onne	tänään							
onnuđ  onnuum annoo     	kelvata  	onnuđ	kelvata				onnuum annoo			
onnuđ  onnuum annoo     	olla tarpeen  	onnuđ	olla 			tarpeen	onnuum annoo			
onnuđ  onnuum annoo     	tulla käytetyksi  	onnuđ	tulla 			käytetyksi	onnuum annoo			
oŋâttâššâđ  oŋâttâšâm     	kurkottaa  	oŋâttâššâđ	kurkottaa				oŋâttâšâm			
oŋâttuššâđ  oŋâttušâm     	kurkottaa  	oŋâttuššâđ	kurkottaa				oŋâttušâm			
oo       	oi  	oo	oi							
oobbiš       	siskonsa kanssa  	oobbiš	siskonsa 			kanssa				
oobbiš       	siskoineen  	oobbiš	siskoineen							
oođâ  ođđâm     	ydin  (luussa)	oođâ	ydin				ođđâm		(luussa)	
oođâjotkâ  -joođhâ     	ydinjatke  	oođâ	ydin		jotkâ	jatke	-joođhâ			
oođâtähti  -täävti     	ydinluu  	oođâ	ydin		tähti	luu	-täävti			
oođiš       	pitkäuninen  	oođiš	pitkä			uninen				
oohtân       	yhteen  	oohtân	yhteen							
oohtânkuullâm       	yhteenkuuluvuus  	oohtân	yhteen		kuullâm	kuuluvuus				
oohtânpe'škittem       	kolari  	oohtân	kolari		pe'škittem					
oohtânrekinistem       	yhteenlasku  (laskutoimitus)	oohtân	yhteen		rekinistem	lasku			(laskutoimitus)	
oohtânrekinistem       	yhteenlasku  (yhteen laskeminen)	oohtân	yhteen		rekinistem	lasku			(yhteen laskeminen)	
oohtânrekinistemmerkkâ  -meerhâ     	yhteenlaskumerkki  	oohtân	yhteen		rekinistemmerkkâ	laskumerkki	-meerhâ			
oohtânservâđ  -seervâm -siär'vá     	yhtyä  (liittyä yhteen)	oohtân	yhtyä		servâđ		-seervâm -siär'vá		(liittyä yhteen)	
oohtânvyeijim       	yhteenajo  	oohtân	yhteen		vyeijim	ajo				
oolâ       	jälkeen  	oolâ	jälkeen							
oolâ       	lisäksi  	oolâ	lisäksi							
oolâ       	päälle  	oolâ	päälle							
ooláádmuddo  -mudo     	saatavilla oleva  	ooláád	saatavilla 		muddo	oleva	-mudo			
ooláádmuddo  -mudo     	ulottuvuus  	ooláád	ulottuvuus		muddo		-mudo			
ooláádmuddo  -mudo     	yllettävissä oleva  	ooláád	yllettävissä 		muddo	oleva	-mudo			
oolâs  oollâs     	pintarasva  	oolâs	pinta			rasva	oollâs			
oolâs  oollâs     	rasvakerros  (nahan alla)	oolâs	rasva			kerros	oollâs		(nahan alla)	
oolâsargim       	yliviivaus  	oolâ	yli		sargim	viivaus				
ooldâs  oldâs     	iltti  	ooldâs	iltti				oldâs			
ooleest       	piirissä  	ooleest	piirissä							
ooleest       	yhteydessä  	ooleest	yhteydessä							
ooleestellee       	loinen  	ooleest	loinen		ellee					
oolgiš       	poikansa kanssa  	oolgiš	poikansa 			kanssa				
oolgiš       	poikineen  	oolgiš	poikineen							
oolmân       	julki  	oolmân	julki							
oolmâs       	julki  	oolmâs	julki							
oomâs  oommâs # omâs     	ihmeellinen  	oomâs	ihmeellinen				oommâs # omâs			
oomâs  oommâs # omâs     	outo  	oomâs	outo				oommâs # omâs			
oomâs  oommâs # omâs     	erikoinen  	oomâs	erikoinen				oommâs # omâs			
oomâs  oommâs # omâs     	eriskummallinen  	oomâs	eriskummallinen				oommâs # omâs			
oomeen       	omena  	oomeen	omena							
oommân       	hella  	oommân	hella							
oommân       	uuni  	oommân	uuni							
oommânáimunjammee       	liesituuletin  	oommân	liesi		áimunjammee	tuuletin				
ooNâ  oonâ     	vihi  	ooNâ	vihi				oonâ			
ooNâ  oonâ     	vinkki  	ooNâ	vinkki				oonâ			
-oopsâg       	-hajuinen  	-oopsâg	-hajuinen							
ooraans       	oranssi  	ooraans	oranssi							
ooraanskiär'ppáákuobâr  -kuob'bâr     	oranssikärpässieni  Amanita crocea	ooraans	oranssi		kiär'ppáákuobâr	kärpässieni	-kuob'bâr		Amanita crocea	
oordel       	määräys  	oordel	määräys							
oordel       	sääntö  	oordel	sääntö							
oornig       	instituutio  	oornig	instituutio							
oornig       	järjestys  	oornig	järjestys							
oornig       	kuri  	oornig	kuri							
oorniga'lmai  -almaa     	järjestysmies  	oornig	järjestys		a'lmai	mies	-almaa			
oornigisttoollâm       	kunnossapito  	oornigist	kunnossa		toollâm	pito				
oorniglâš  oorniglii     	järjestelmällinen  	oorniglâš	järjestelmällinen				oorniglii			
oornigloho  -loVo     	järjestysluku  	oornig	järjestys		loho	luku	-loVo			
oornigvahtâ  -vaavtâ     	järjestysmies  	oornig	järjestys		vahtâ	mies	-vaavtâ			
oornijdmettum  # -es     	järjestäytymätön  	oornijdmettum	järjestäytymätön				# -es			
ooškâs  oškâs     	paanne  	ooškâs	paanne				oškâs			
oovcád       	yhdeksäs  	oovcád	yhdeksäs							
oovce       	yhdeksän  	oovce	yhdeksän							
oovcenubáloh  -nubálov     	yhdeksäntoista  	oovce	yhdeksän		nubáloh	toista	-nubálov			
oovces  ohcás     	yhdeksän  (ihmistä)	oovces	yhdeksän				ohcás		(ihmistä)	
oovces  ohcás     	yhdeksän ihmisen joukko  	oovces	yhdeksän 			ihmisen joukko	ohcás			
oovdân       	edelle  	oovdân	edelle							
oovdân       	eteen  	oovdân	eteen							
oovdân       	esiin  	oovdân	esiin							
oovdân       	esille  	oovdân	esille							
oovdânpyeh'tee       	esittelijä  	oovdân	esittelijä		pyeh'tee					
oovdânpyeh'tiđ  -puávtám -puáh'tá     	esitellä  	oovdân	esitellä		pyeh'tiđ		-puávtám -puáh'tá			
oovdânpyeh'tiđ  -puávtám -puáh'tá     	esittää  	oovdân	esittää		pyeh'tiđ		-puávtám -puáh'tá			
oovdânpyeh'tim       	esitelmä  	oovdân	esitelmä		pyeh'tim					
oovdânpyeh'tim       	esittely  	oovdân	esittely		pyeh'tim					
oovdânpyeh'tim       	esitys  	oovdân	esitys		pyeh'tim					
oovdâs       	edeltäpäin  	oovdâs	edeltä			päin				
oovdâs       	edespäin  	oovdâs	edes			päin				
oovdâs       	ennakkoon  	oovdâs	ennakkoon							
oovdâs       	eteenpäin  	oovdâs	eteen			päin				
oovdâs       	eteen  	oovdâs	eteen							
oovdâš  ovdâš     	edus  (eläimen edessä oleva alue, josta syö)	oovdâš	edus				ovdâš		(eläimen edessä oleva alue, josta syö)	
oovdâš  ovdâš     	enne  	oovdâš	enne				ovdâš			
oovdâš  ovdâš     	etiäinen  	oovdâš	etiäinen				ovdâš			
oovdâst       	edessä  	oovdâst	edessä							
oovdâst       	edestä  	oovdâst	edestä							
oovdâstjottee       	edelläkävijä  	oovdâst	edellä		jottee	kävijä				
oovdâstmannee       	edelläkävijä  	oovdâst	edellä		mannee	kävijä				
oovdâstmannee       	edeltäjä  	oovdâst	edeltäjä		mannee					
oovdeb       	edellinen  	oovdeb	edellinen							
oovdebpeeivi       	toissapäivänä  	oovdeb	toissa		peeivi	päivänä				
oovdebpeivi  -peeivi     	toissapäivä  	oovdeb	toissa		peivi	päivä	-peeivi			
oovdeld       	edeltä  	oovdeld	edeltä							
oovdeld       	päällä  (korvamerkissä)	oovdeld	päällä						(korvamerkissä)	
oovdeld       	vastaan  	oovdeld	vastaan							
oovdeldceehis  -ciäk'ká     	pykälä päällä  (korvamerkissä)	oovdeld	pykälä 		ceehis	päällä	-ciäk'ká		(korvamerkissä)	
oovdeldhaŋgâ  -haaŋgâ     	hanka päällä  (korvamerkissä)	oovdeld	hanka 		haŋgâ	päällä	-haaŋgâ		(korvamerkissä)	
oovdeldkietân       	etukäteen  	oovdeld	etu		kietân	käteen				
oovdemuš       	ensimmäinen  (useasta)	oovdemuš	ensimmäinen						(useasta)	
oovdemuš       	etummainen  	oovdemuš	etummainen							
oovdemustáá       	ensimmäiseksi  	oovdemustáá	ensimmäiseksi							
oovdemustáá       	ensimmäiseksi  	oovdemustáá	ensimmäiseksi							
oovdiš  ovdii     	entinen  	oovdiš	entinen				ovdii			
ooviittiđ  oovit     	rohjeta  	ooviittiđ	rohjeta				oovit			
ooviittiđ  oovit     	juljeta  	ooviittiđ	juljeta				oovit			
ooviittiđ  oovit     	kehdata  	ooviittiđ	kehdata				oovit			
oovtâčaalmâg  -čalmâg     	yksisilmäinen  	oovtâ	yksi		čaalmâg	silmäinen	-čalmâg			
oovtâdâh  oovtâduv     	yksikkö  (ei kielit.)	oovtâdâh	yksikkö				oovtâduv		(ei kielit.)	
oovtahasâš  -ahasii     	samanikäinen  	oovt	saman		ahasâš	ikäinen	-ahasii			
oovtáigásâš  -áigásii     	samanaikainen  	oovt	saman		áigásâš	aikainen	-áigásii			
oovtâihásâš  -ihásii     	yksivuotinen  	oovtâ	yksi		ihásâš	vuotinen	-ihásii			
oovtâitosâš  -itosii     	tasavertainen  	oovtâ	tasa		itosâš	vertainen	-itosii			
oovtâivnásâš  -ivnásii     	yksivärinen  	oovtâ	yksi		ivnásâš	värinen	-ivnásii			
oovtâkielâg  -kiellâg     	yksikielinen  	oovtâ	yksi		kielâg	kielinen	-kiellâg			
oovtâkiär'dán  # -is     	yksinkertainen  	oovtâ	yksin		kiär'dán	kertainen	# -is			
oovtâkiär'dánvuotâ  -kiär'dánvuođâ     	yksinkertaisuus  	oovtâ	yksin		kiär'dánvuotâ	kertaisuus	-kiär'dánvuođâ			
oovtâkiär'dásâš  -kiär'dásii     	yksikerroksinen  	oovtâ	yksi		kiär'dásâš	kerroksinen	-kiär'dásii			
oovtâlágán       	eräänlainen  	oovtâ	erään		lágán	lainen				
oovtâloho  -loVo     	yksikkö  (kielit.)	oovtâ	yksikkö		loho		-loVo		(kielit.)	
oovtâloonjâg  -lonnjâg     	yksiö  	oovtâ	yksiö		loonjâg		-lonnjâg			
oovtâluod'dâsâš  -luod'dâsii     	yksiraiteinen  	oovtâ	yksi		luod'dâsâš	raiteinen	-luod'dâsii			
oovtâmie'lâlâš  -mie'lâlii     	yksimielinen  	oovtâ	yksi		mie'lâlâš	mielinen	-mie'lâlii			
oovtâmie'lâlâšvuotâ  -mie'lâlâšvuođâ     	yksimielisyys  	oovtâ	yksi		mie'lâlâšvuotâ	mielisyys	-mie'lâlâšvuođâ			
oovtâš  ovttii     	ykkönen  	oovtâš	ykkönen				ovttii			
oovtâst       	yhdessä  	oovtâst	yhdessä							
oovtâstaassâmviste  -vi'ste     	yhteismajoitus  	oovtâst	yhteis		aassâmviste	majoitus	-vi'ste			
oovtâstkiihâm       	yhteissoidin  	oovtâst	yhteis		kiihâm	soidin				
oovtâstpargo  -pa'rgo     	yhteistyö  	oovtâst	yhteis		pargo	työ	-pa'rgo			
oovtâsundásâš  -sundásii     	yksisuuntainen  	oovtâ	yksi		sundásâš	suuntainen	-sundásii			
oovtčielgiitlâš  -čielgiitlii     	yksiselitteinen  	oovt	yksi		čielgiitlâš	selitteinen	-čielgiitlii			
oovtlágán       	yhtäläinen  	oovt	yhtäläinen		lágán					
oovtlágán       	yhteneväinen  	oovt	yhteneväinen		lágán					
oovtmano       	alituiseen  	oovt	alituiseen		mano					
oovtmanolâš  -manolii     	alituinen  	oovt	alituinen		manolâš		-manolii			
oovtmanolâš  -manolii     	jatkuva  	oovt	jatkuva		manolâš		-manolii			
oovtnáál       	samalla tavoin  	oovt	samalla 		náál	tavoin				
oovtnáál       	samoin  	oovt	samoin		náál					
oovtnáál       	samoin  	oovt	samoin		náál					
oovtnáLásittem       	yhdenmukaistaminen  	oovt	yhden		náLásittem	mukaistaminen				
oovtnommâsâš  -nommâsii     	samanniminen  	oovt	saman		nommâsâš	niminen	-nommâsii			
oovtnummeersâš  -nummeersii     	yksinumeroinen  	oovt	yksi		nummeersâš	numeroinen	-nummeersii			
oovtpiäLálâš  -piäLálii     	yksipuolinen  	oovt	yksi		piäLálâš	puolinen	-piäLálii			
oovtviär'dásâšvuođâlaahâ  -laaVâ     	yhdenvertaisuuslaki  	oovt	yhden		viär'dásâšvuođâlaahâ	vertaisuuslaki	-laaVâ			
opâdiđ  ooppâd     	koeskella  (useita verkkoja, ansoja tms.)	opâdiđ	koeskella				ooppâd		(useita verkkoja, ansoja tms.)	
opâdiđ  ooppâd     	kokea  (useita verkkoja, ansoja tms.)	opâdiđ	kokea				ooppâd		(useita verkkoja, ansoja tms.)	
opâttâh  opâttuv     	opisto  	opâttâh	opisto				opâttuv			
opâttâs       	opetus  	opâttâs	opetus							
opâtteijee       	opettaja  	opâtteijee	opettaja							
opâttellee       	kokelas  	opâttellee	kokelas							
opâttiđ  ooppât     	opettaa  	opâttiđ	opettaa				ooppât			
opâttijjee       	opettaja  	opâttijjee	opettaja							
oppâ  oopâ     	oppi  	oppâ	oppi				oopâ			
oppâčááitus  -čáittus     	opinnäyte  	oppâ	opin		čááitus	näyte	-čáittus			
oppâčáituspargo  -pa'rgo     	opinnäytetyö  	oppâ	opin		čáituspargo	näytetyö	-pa'rgo			
oppâđ  oopâm uáp'pá     	kokea pyydyksiä  	oppâđ	kokea 			pyydyksiä	oopâm uáp'pá			
oppâđ  oopâm uáp'pá     	käydä katsomassa  (jtak tarkistaakseen tms.)	oppâđ	käydä 			katsomassa	oopâm uáp'pá		(jtak tarkistaakseen tms.)	
oppâđ  oopâm uáp'pá     	opiskella  	oppâđ	opiskella				oopâm uáp'pá			
oppâđ  oopâm uáp'pá     	oppia  	oppâđ	oppia				oopâm uáp'pá			
oppâeeči  -eeJi     	oppi-isä  	oppâ	oppi		eeči	-isä	-eeJi			
oppâkirje  -ki'rje     	oppikirja  	oppâ	oppi		kirje	kirja	-ki'rje			
oppâm       	oppiminen  	oppâm	oppiminen							
oppâm       	oppinut  	oppâm	oppinut							
oppâm       	kokenut  	oppâm	kokenut							
oppâmateriaal       	oppimateriaali  	oppâ	oppi		materiaal	materiaali				
oppâmeeRi  -mere     	oppimäärä  	oppâ	oppi		meeRi	määrä	-mere			
oppeet       	jälleen  	oppeet	jälleen							
oppeet       	taas  	oppeet	taas							
oppuu       	pöllö  	oppuu	pöllö							
opsâ  oopsâ     	haju  	opsâ	haju				oopsâ			
opsâkässih       	tuoksuvahakas  Hygrophorus agathosmus	opsâ	tuoksu		kässih	vahakas			Hygrophorus agathosmus	
opsâoljo  -o'ljo     	tuoksuöljy  	opsâ	tuoksu		oljo	öljy	-o'ljo			
o'psijdiđ  oopsijd     	haista  	o'psijdiđ	haista				oopsijd			
optiik       	optiikka  	optiik	optiikka							
optiikkár       	optikko  	optiikkár	optikko							
optisâš  optisii     	optinen  	optisâš	optinen				optisii			
ordâ  oordâ     	orsi  	ordâ	orsi				oordâ			
ordârääJi  -rääji     	metsänraja  	ordâ	metsän		rääJi	raja	-rääji			
ordo  o'rdo     	uurto  (syyspeuranpyynti)	ordo	uurto				o'rdo		(syyspeuranpyynti)	
ordo  o'rdo     	syyspeuranpyynti  	ordo	syys			peuranpyynti	o'rdo			
ores  orráás     	koiras  	ores	koiras				orráás			
ores  orráás     	uros  	ores	uros				orráás			
oreskaasi       	kolli  	ores	kolli		kaasi					
oresked       	peruke  (pitkässäsiimassa)	ores	peruke		ked				(pitkässäsiimassa)	
oreskedpuunnjâmmuoRâ  -muorâ     	nuorakela  (punomiseen)	ores	nuora		kedpuunnjâmmuoRâ	kela	-muorâ		(punomiseen)	
oreskerdi  -keerdi     	peruke  (pitkässäsiimassa)	ores	peruke		kerdi		-keerdi		(pitkässäsiimassa)	
oreskissá  -kiSá~-kisá     	kolli  	ores	kolli		kissá		-kiSá~-kisá			
orespeeci  -peesi     	kovapuinen mänty  	ores	kova		peeci	puinen mänty	-peesi			
orespeeci  -peesi     	urosmänty  	ores	uros		peeci	mänty	-peesi			
orgaan       	elin  	orgaan	elin							
orgaanlâš  orgaanlii     	eloperäinen  	orgaanlâš	elo			peräinen	orgaanlii			
orgaanlâš  orgaanlii     	orgaaninen  	orgaanlâš	orgaaninen				orgaanlii			
orgaansirdem       	elinsiirto  	orgaan	elin		sirdem	siirto				
